review,rating,categories
Always have a system maintenance,1,maintenance
This app is so disgusting super disgusting ang mga employee dito napaka rude walang professionalism when it comes to client at nakakataas ng interest for a week hindi totoo ang 90 days to 121 days kalokohan itong app na ito lalo ka lang babaunin sa utang imbis makatulong tapos ang app pa nila bulok... Wag na wag nyong subukan sa app na ito,1,customer service /  scam
Very easy to use👍👍,5,user friendliness
"The best loaning app ever..minimal interest, and even if you passed the due date they would still increase your cl if you would pay it, laking tulong ni Plentina, Thank you Plentina😊",5,loan interest /  leniency
Great app and easy to apply,5,user friendliness
"Low budget app. Whenever salary came, app issues came along with it. Please upgrade your trash app.",1,feature accessibility
thank you Mr. cash the best lending app so far.. easy step and low interest..,5,user friendliness /  loan interest
"Very fast totoo ngang . Team, keep it up and kindly share your email address or any working calling numbers privately. Thanks, very nice service",5,transaction speed
"Borrowing money is a must-have software for mobile phone loans and borrowing money. Loans and borrowing money are really easy, the operation is simple, the review is very fast, and the interest rate is low. It's really great",3,transaction speed /  user friendliness /  loan interest
fast loan. fast payment schedule.,5,transaction speed
Easy to used and fast to register,5,user friendliness /  transaction speed
"Managed to do account enrolment however the eSS isn't yet an available feature. Always has the ""high volume traffic"" login error after the 11/14/2022 update.",1,feature accessibility
Easiest way to lend money when you needed it the most. Thanks monery,5,transaction speed
Always showing an error like what the!! Improve this up this not a friendly user😤😤😤 Bwesit na apps to!!!!!!😤😤😤😤,1,feature accessibility
Very useful & easy to use..,5,transaction flexibility /  user friendliness
"Anong kaputahang error to about your app preventing me to change my device for security reasons? Kaya nga nag send kayo ng OTP diba? Para saan pa yun, palamuti? I reinstalled the app to no avail. I called your hotline and was told that he will escalate my issue and there is no turn around time for a resolution. Get your act together, EastWest. Tinatamad ako mag email kay BSP, dahil wala naman din ako maaasahan na aksyon sa kanila. Jusqo",1,security features
This application make things hard. Even the simple process of transferring money it keeps saying wrong passcode even though it's the right one. Now im encouraging everyone in my family to switch to better bank that has a better applications.,1,security features
Easy to use.. nice apps,5,user friendliness
"sobrang Ganda Ng apps na to mkakatulong talaga at Ang bilis pa mg process,slamat plentina.",5,transaction speed
"Useful app,and it helps in times of emergency",5,transaction speed
I'm happy coz it easy to apply and fast approval now than before.,5,transaction speed
This app is always give error about connection even if our internet was doing fine. Can you please fix this we can't use it specially on the time we need it.,1,loading speed
Always crashing and not user friendly,1,user friendliness
Please check current installation file. It looks like it is not working. It is saying that it is an emulator. Update now working.,3,app installation
"why it keeps telling me try again later?.it seems like theres always have a problem with my app..i cant check my balance,i cant do payments..what the hell happening to this app",5,feature accessibility
"Okay naman, medyo di lang ganun kaganda for me yung app unlike sa other banks. It's more like an old version, I hope they update it to be more convenient. Also, I've experienced struggle upon the issuance of debit card. Di raw nagappear yung application ko at request ko kaya pinaulit sakin yung whole process sa mismong branch then yung binigay na card is walang name and puro gasgas. Although yung ibang staffs naman ay mabait.",3,user friendliness /  feature accessibility /  customer service
Napaka bilis maka Hiram sa Kay Mr cash basta on-time mo talaga sya babayaran walang magiging problema thank you Mr cash mababayaran kuna UNG bills KO,5,transaction speed
Awesome! Easy and Useful App,5,user friendliness /  transaction flexibility
very easy to use,5,user friendliness
"Gonna give 0 star if there is. Loan keeps on declining even you're a good payer. JuanHand will release your information to other loan platform then you'll receive bunch of text messages. Their cs is not knowledgeable about their product, cs is rude and very long time to response.",1,leniency
madali at mahusay,5,user friendliness
"Give my son a loan to go to school, fast and convenient, solve major life problems, absolutely good software, a loan platform, and a powerful loan application that is more convenient than other loans. Loan review is faster.",5,transaction speed
"By far, my experience with this app is so smooth. After filling out the application form, I get a call right away from one of their reps and she's so professional. She set an appointment for me to meet up with one of their feild reps for some contract signing or q&a maybe for approval purposes. Anyways, hopefully I get approved as I need some funds lately. But overall, I have a very good impression with this company.",5,transaction speed /  customer service
"One star for your so poor and disappointing customer service. Chatbox says it's available 24/7 but wasn't able to attend to messages quickly. I've been calling the 24/7 hotline non-stop since morning , but nobody's answering. You should improve your heldesk/custcare service since your business is related to finances. Will never recommend this app.",1,customer service
In many occasion the app gives an error that internet connection is weak and wont let me login. This is a bug you need to fix as I am on fiber connection and it is actually fast (75Mbps) . Even tried with a different ISP and still gives that error.,3,loading speed
Do I really need to have personal bank account in order to create online account for my credit card? Oh come on! Your system is outdated. You gave me credit card without own bank account with you. Then I'm not allowed to create online account without it? How come other banks allows their credit card holder to create their own online account without enrolling to personal bank account,1,security features
Used this paying my bills and it sure did a great thing but REPAYING is a different story.You need to inform them your payment has not reflected on your account not to mention I once waited almost an hour for an agent with no luck and tried to complain about it along with their cellular numbers that is not working but guess what I think he just dissed me off by saying have a great day!So I ended my chat and just made a review here!Every payment is a nightmare but I know you guys CAN FIX this!,3,transaction speed
ok cya.. mabilis at madali g gamitin..,5,user friendliness /  transaction speed
"Do not try this apps, it's a scam",1,transaction legitimacy
Super easy and convinient to use this application highly recommended for savings.,5,user friendliness
it is always DOWN! NOW I HAVE TO UNINSTALL IT AND INSTALL IT. hope the developers will work something about it. Maybe also improve the Ui. I have 2 bank acc in one iaccess and sending money make it little confusing.,1,app installation /  user friendliness
I HATE this app! The previous one is better. My transactions often fail. What a waste of my time!,1,transaction approval
"This software can, quite powerful, reliable and convenient!",5,user friendliness
"Applying for a loan was easy, but the deductions from your total loan are too much. Aside from that, their agents are too aggressive and sent you threatening messages even if you re not yet past your due date when they are asking for payment. I'm not recommending this app anymore. Agents are rude,disrespectful,aggressive &threatening! It's not worth it for a few bucks that you are asking.",1,leniency
while u sleep u Earn easy to use and my partner in my work thank you Sea bank,5,savings interest
Fast loan when you need it congrats and continue..helping people..,5,transaction speed
I like how fast I can send money.. straightforward app.. easy to use.,5,transaction speed
"I already have a fully verified account, then if i add other account it is always service error. Please do something about it.",1,security features
It's fast and easy to loan..thank you,5,transaction speed
high interest and short period of payment. agents are so rude.,1,loan interest /  leniency /  customer service
Very high interest rate and service charges! Rude customer servce! Rude agents! Even though you reply to their numbers they will still text your contacts and tell them that you are not responding!,1,loan interest /  customer service
"I hope they have option for automatic request for closing CCs since their Customer Supports are always busy, always receiving call later.",3,customer service
Hi! Excuse me?? Never akong nag install ng app niyo so bakit may nag tetext sakin na humiram daw ako sa app niyo?? Binabantaan pa ako??? kayong mga lending app kapag may mga hiram sainyo ibang tao wag yung ibang tao ang singilin niyo. nakakaistorbo kayo sa totoo lang. Hindi ko alam saan ako mag sesend ng concern eh.,1,data privacy
Very good apps..easy to fill out the form.i hope approved.,5,user friendliness
There is no problem with the app. It is slow when the internet connection is very slow.,4,loading speed
Kevin Ecunar... lemon loan para sa akin maganda cia para sa mga gusto mag loan ireremonenda ko sa mga Kaibigan ko ito at nkapadali Ng processing.. salamat sa lemon loan,4,transaction speed
"This is by far the best banking app for me. Has lowest transfer fee compared to others, user friendly, and offers various features for users. Thank you for approving my credit card application. You're the best ☺️👌",5,transaction fees /  user friendliness /  feature accessibility
"I never want to give negative review but I think this app really deserves 1 star. It never sent me an OTP so I never get the chance to log in. No issues with BDO Online Banking (very convenient but app should've been more convenient) so the problem is really with this app. I uninstalled BDO Digital Banking since for now, it's useless. I hope you'll fix the issues including generating OTP. Once it's fixed, I'd never hesitate to change my review to 5 stars.",1,security features
scam flatform... always declined my application,1,transaction approval
So far so good and super mababa ang interest compared to others. Pero sana may option to pay it just 1 month instead of 2 months,5,loan interest /  leniency
"Hi there UDB, Pls add feature a list station of the favorite external bank account, user can initiate auto scheduling money transfer /to via instapay and pesonet 😍",5,transaction flexibility
"Dapat hindi ganyan ang approach ninyo. Once may record kna sa knila, as if tuloy pa rin application mo. Khit hindi naman nag proceed dahil sa sobra taas ng interest.",1,loan interest
"Such a good reliable loan app, the agents are respectful & accommodating. They will talk to u in a nice manner, help & suggest an easy way to pay for the loan. Specially the agent namely Thea Theresa, such kind & professional in handling person, salute to her. 5stars are not enough for this app, if there is more high than 5stars,i will rate it.",5,customer service
very good for not rooted device...,5,security features
"I cant open my go tyme app since the last update, it says, "" this app cant open because the enviroment is not secure and your data may be at risk."" i dont know why that happen. Im using POCO F3 mobile.",1,app installation /  security features
Easy and Fast,5,user friendliness
Your personal information will be leaked to different loan sharks and they also have high interest.,1,data privacy /  loan interest
"The app seems so friendly, fun and secure at the same time.",5,user friendliness
Smooth transaction,5,transaction speed
easy access for us,4,feature accessibility
Very helpful and always answer any quiry....,5,customer service
So far okay naman wala ako na encounter na problem sa pag open ng account.,5,registration
Hi! Why does my card unable to pay Themes for Samsung Note 8? It says that the card issuer declined this payment? Why?!!!,4,transaction approval
"Good day ma'am/sir update for a new version is not working it always been loading for a long time please fix this issue to start using your services, Thanks.",5,app installation
Ayusin nyo app nyo..Hindi Makita ung iBang transactions..antagal pa magupdate Ng mga transactions..,3,feature accessibility /  transaction speed
Easy to do bankint transactions,5,transaction speed
"Easy and fast, no hassle",5,user friendliness /  transaction speed
"Recently everytime I try opening the app using fingerprint won't work, even user name and passwords failed until my account was locked. Have to change passwords 10x, SMH and super annoying. Please fix it!",1,security features
"I cant even log in to this app. I got my new card yesterday, downloaded the app, got multiple error messages that they are unable to process the request and try again later. Everytime i try to log in, it says i must activate the online acct first. I put in the activation code which they send me and the error message. It is frustrating. I called cust svc this afternoon, we got nowhere. I sent an email to them and got a cut and paste type of response. Nothing is being done.",1,registration
Great loaning app super fast,5,transaction speed
Sayang oras dito sa app na to auto reject..,1,transaction approval
Beware everyone. This app is a total scam. I paid twice but still uncleared with balance. They'll just blockmail you if you don't pay again. This time I have my proof of everything.,1,transaction legitimacy
"Worst app ever. Always have some issues, I downloaded this over a month ago ang I just used it 2 times due to system issues.",1,loading speed
ALWAYS SYSTEM MAINTENANCE,1,maintenance
I did not complete the process of registration. But its been days that different agents kept on txting me. I already ask to stop and to remove my name. But still same harassment on sms.,1,registration /  customer service
The app is easy to use pere there are some loopholes dahil halos one month bago na-amend ang aking number sa app kasi walang access ang Customer Service sa amendment tapos ang tagal intindihin ng branch na naka-assign. It would be better if meron na ring access ang CS nila sa mismong amendment para mabilis na maayos kapag nagpalit ng sim card number ang user since may perang involved luckily in my case kasi hindi need yong pera agad-agad.,4,user friendliness /  registration /  customer service
Easy and fast transaction,5,user friendliness /  transaction speed
"Worst bank. Don't invest your money in this bank. Customer service sucks. App slow. If there's zero rate, definitely I'll give you negative rating. Frustrating.",1,loading speed /  customer service
Super convenient and almost everything is here,5,transaction flexibility /  feature accessibility
"very good app, you can buy now and pay later. very helpful especially in times of emergency.",5,leniency
"Scamm and fraudulent app,!! Do not Download this app.,after gathering your personal info they will auto declined your application!!",1,transaction legitimacy /  transaction approval
fast and affordable,5,transaction speed
"I cannot transact ,What happen to this apps?I've been trying for 2 days now,every time I open it it's says error or try again. It's annoying 😒 🙄 can you pls improve bdo. So frustrating and not convenient to use anymore.",1,transaction approval
More convenient than any other apps... thank you...,5,transaction flexibility
Download the app few days already.. I have been trying to register and after the otp is sent and I type it in. I always get the same error. Can not process your request try again. And it's been going on for a few days already.,1,security features
Straight forward app than the latest app. Just work on your security fraud and convenience like easy 3rd party enrollment. Other than that.. PERFECT,5,user friendliness / transaction flexibility
